Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr22	16409581	0.39666	3.4045020430198942
chr22	16410090	0.397362	3.404703942959894
chr22	16412723	0.40783	3.405750197105894
chr22	16413364	0.414406	3.406011616135894
chr22	16413538	0.419886	3.4060837227798944
chr22	16415438	0.478885	3.4068815061798943
chr22	16415484	0.538141	3.4069035348898944
chr22	16416036	1.890197	3.4072005887218944
chr22	16416156	1.909846	3.407427412361894
chr22	16419408	2.63773	3.413638231553894
chr22	16421699	2.6971372787546843	3.419681270983894
chr22	16425168	2.8757173855932208	3.429037640203894
chr22	16430832	2.941674	3.445325703475894
chr22	16431086	1.1197786457098684	3.446072888671894
chr22	16434967	2.190194	3.450418749595894
chr22	16435258	3.609151352311644	3.4510560960498937
chr22	16437594	3.050728676155822	3.459487073608894
chr22	16437595	2.492306	3.45949012433757
chr22	16438107	1.5598242105263158	3.4607661850095703
chr22	16438126	0.8476391052631579	3.4607958216695702
chr22	16438127	0.135454	3.4607966693086754
chr22	16456391	0.136415	3.4632706011646754
chr22	16457636	0.1376774286692692	3.4634404378396755
chr22	16472237	0.141559	3.4654506659756756
chr22	16472379	0.144829213483146	3.4654707673536755
chr22	16476562	0.1457132177263969	3.4660765879536757
chr22	16482790	0.1566881088631984	3.4669840898736757
chr22	16485919	0.167663	3.4674743669663086
chr22	16490010	0.180239	3.4681602762993085
chr22	16492336	0.184819	3.4685795122133083
chr22	16502716	0.200334	3.4704979334333084
chr22	16508400	0.19822	3.471636631889308
chr22	16509530	0.194975	3.4718606204893083
chr22	16509636	0.19492	3.471881287839308
chr22	16549820	0.19492	3.479713953119308
chr22	16549902	0.231395	3.479729936559308
chr22	16550182	0.282442	3.4797947271593084
chr22	16551808	0.526761	3.480253977851308
chr22	16568935	0.607275	3.4892758134983084
chr22	16569017	0.830586	3.4893256100483083
chr22	16569198	1.064583	3.4894759461143083
chr22	16573830	1.211849	3.4944070945703083
chr22	16575132	1.409344	3.4959849219683083
chr22	16576248	1.545805	3.4975577498723083
chr22	16576707	1.726998	3.498267274367308
chr22	16582469	2.280147	3.5082182368433084
chr22	16584189	2.686375	3.5121400896833084
chr22	16585842	6.100021999999999	3.5165806675583084
chr22	16586614	6.296018	3.5212898845423086
chr22	16587858	6.240586	3.529122130934309
chr22	16589219	6.155402	3.537615568480309
chr22	16590153	3.7370100000000006	3.543364713948309
chr22	16591593	2.522424	3.5487460083483087
chr22	16592176	1.740407	3.5502165815403086
chr22	16594463	1.748623	3.554196892349309
chr22	16599488	1.789893	3.562983722924309
chr22	16603719	0.770033	3.570556760207309
chr22	16603872	0.610793	3.570674575256309
chr22	16606766	0.624754	3.572442210198309
chr22	16606815	0.637665	3.572472823144309
chr22	16608749	7.823516	3.573706067254309
chr22	16609584	7.820100999999999	3.580238703114309
chr22	16613057	0.624284	3.607397913887309
chr22	16613859	0.615534	3.607898589655309
chr22	16615817	0.602538	3.609103805227309
chr22	16615974	0.587452	3.609198403693309
chr22	16616526	0.526627	3.609522677197309
chr22	16618217	0.38935	3.610413203454309
chr22	16619607	0.371648	3.610954399954309
chr22	16620021	0.337942	3.611108262226309
chr22	16621097	0.304269	3.611471887818309
chr22	16621714	0.265672	3.611659621791309
chr22	16622188	0.225719	3.611785550319309
chr22	16622827	0.211207	3.611929784760309
chr22	16624776	0.206742	3.612341427203309
chr22	16625404	0.205703	3.612471261179309
chr22	16626376	0.200503	3.612671204495309
chr22	16626440	0.158351	3.612684036687309
chr22	16627729	0.155678	3.612888151126309
chr22	16628260	0.105671	3.6129708161443093
chr22	16631390	0.077271	3.613301566374309
chr22	16631452	0.048443	3.613306357176309
chr22	16635343	0.048357	3.6134948488893093
chr22	16640996	0.0482679999999999	3.613768211010309
chr22	16642588	0.0483059999999999	3.613845053666309
chr22	16643417	0.048305	3.613885099340309
chr22	16649519	0.048317	3.614179856450309
chr22	16651600	0.048317	3.614280404127309
chr22	16655768	0.048317	3.614481789383309
chr22	16658337	0.048311	3.614605915756309
chr22	16659133	0.048316	3.614644371312309
chr22	16659703	0.048343	3.614671911432309
chr22	16668143	0.142928	3.6150799263523092
chr22	16668410	0.276035	3.6151180881283094
chr22	16671721	0.29935	3.6160320400133092
chr22	16674094	1.115393	3.6167423975633093
chr22	16674102	1.705667	3.6167513207073094
chr22	16674493	1.799095	3.6174182365043093
chr22	16678780	1.7992579999999998	3.625130956769309
chr22	16680396	2.056472	3.628038557697309
chr22	16683482	2.084565	3.6343848302893087
chr22	16683588	2.119394	3.6346057941793086
chr22	16683883	5.102371	3.6352310154093086
chr22	16688632	3.646115	3.6594621752883087
chr22	16690487	3.434844	3.6662257186133087
chr22	16693023	3.057959	3.6749364829973086
chr22	16694398	3.054846	3.6791411766223088
chr22	16696185	3.47992	3.684600186424309
chr22	16696580	3.5895429999999995	3.685974754824309
chr22	16696904	3.591621	3.687137766756309
chr22	16697016	3.592144	3.687540028308309
chr22	16697125	3.595969	3.6879315720043087
chr22	16697323	3.715263	3.6886435738663086
chr22	16697340	3.884287	3.6887067333373085
chr22	16697442	4.300716	3.6891029306113086
chr22	16697696	5.091182	3.6901953124753084
chr22	16699620	7.248532	3.6999907466433086
chr22	16702213	4.446112	3.7187861901193084
chr22	16705838	4.442935	3.7349033461193084
chr22	16706386	4.438812	3.7373380744993083
chr22	16706687	4.438378	3.7386741569113084
chr22	16706799	2.794843	3.7391712552473084
chr22	16706829	1.05484	3.7392551005373083
chr22	16707168	0.710201	3.7396126912973084
chr22	16708242	0.701063	3.7403754471713087
chr22	16708304	0.691626	3.7404189130773084
chr22	16708828	0.692062	3.7407813251013082
chr22	16709221	0.686922	3.7410533054673083
chr22	16709793	1.912742	3.7414462248513085
chr22	16709829	4.090938	3.7415150835633084
chr22	16709840	4.079437	3.7415600838813083
chr22	16711253	4.201852	3.7473243283623083
chr22	16714378	0.7233849999999998	3.7604551158623085
chr22	16714789	0.441374	3.7607524270973087
chr22	16714977	0.517923	3.760835405409309
chr22	16715410	0.361777	3.761059666068309
chr22	16718108	0.361543	3.762035740414309
chr22	16719707	0.3615	3.762613847671309
chr22	16721712	0.215436	3.7633386551713093
chr22	16722213	0.132189	3.763446588607309
chr22	16725140	0.132928	3.763833505810309
chr22	16725606	0.134687	3.763895450258309
chr22	16729428	0.138067	3.764410223972309
chr22	16730185	0.143065	3.764514740691309
chr22	16730451	0.144922	3.764552795981309
chr22	16730550	0.144932	3.764567143259309
chr22	16731083	0.147597	3.7646443920153088
chr22	16731223	0.15202	3.7646650555953087
chr22	16731663	0.157543	3.764731944395309
chr22	16732102	0.162426	3.764801105772309
chr22	16732408	0.168772	3.764850808128309
chr22	16733362	0.175762	3.765011816616309
chr22	16733779	0.17634	3.7650851093703093
chr22	16734842	0.176477	3.765272558790309
chr22	16736004	0.180125	3.765477625064309
chr22	16736311	0.186774	3.765532923439309
chr22	16738360	0.1930079999999999	3.765915623365309
chr22	16738466	0.197508	3.765936082213309
chr22	16738735	0.206126	3.765989211865309
chr22	16739111	0.216076	3.766066715241309
chr22	16740605	0.299257	3.7663895327853094
chr22	16740922	0.664305	3.7664843972543096
chr22	16741895	0.651632	3.7671307660193096
chr22	16742072	0.600498	3.7672461048833097
chr22	16742672	0.40535	3.7676064036833097
chr22	16743048	0.368941	3.7677588152833095
chr22	16744284	0.388116	3.7682148263593094
chr22	16744303	0.412154	3.7682222005633093
chr22	16744429	0.472105	3.7682741319673094
chr22	16744517	0.575494	3.7683156772073096
chr22	16744825	1.004359	3.7684929293593097
chr22	16745013	1.098498	3.76868174885131
chr22	16745060	1.223143	3.7687333782573096
chr22	16746513	1.212293	3.7705106050363097
chr22	16746571	1.208005	3.77058091803031
chr22	16746710	1.203375	3.7707488307253096
chr22	16747906	1.2285	3.7721880672253096
chr22	16749078	1.283161	3.77362786922531
chr22	16750243	2.976105	3.7751227517903096
chr22	16750622	4.982717	3.7762506955853095
chr22	16750713	7.632862	3.7767041228323093
chr22	16750829	8.314043	3.777589534824309
chr22	16753607	0.571592	3.800685946278309
chr22	16757380	0.942803	3.802842562894309
chr22	16757445	1.465457	3.802903845089309
chr22	16758016	2.349914	3.803740621036309
chr22	16760569	0.584066	3.809739951478309
chr22	16762574	0.581366	3.810911003808309
chr22	16763710	0.575628	3.8115714355843093
chr22	16763844	0.56965	3.811648569736309
chr22	16764419	0.56818	3.8119761184863092
chr22	16764450	0.566767	3.811993732066309
chr22	16765439	0.566791	3.812554264629309
chr22	16773509	0.568049	3.8171282679993093
chr22	16774406	0.568722	3.8176378079523094
chr22	16774637	0.568831	3.8177691827343097
chr22	16774862	0.569222	3.8178971697093096
chr22	16775341	0.570144	3.8181698270473095
chr22	16776308	0.589215	3.8187211562953096
chr22	16776405	0.58912	3.8187783101503094
chr22	16777311	0.727684	3.8193120528703095
chr22	16777423	0.727625	3.8193935534783097
chr22	16777907	0.727684	3.8197457239783095
chr22	16777918	1.135237	3.8197537285023095
chr22	16779064	1.018711	3.8210547101043097
chr22	16779646	1.018972	3.8216475999063095
chr22	16780136	0.936919	3.8221468961863097
chr22	16781809	0.860281	3.82371436167331
chr22	16782964	0.85423	3.8247079862283098
chr22	16783675	0.621432	3.8253153437583096
chr22	16784014	0.553116	3.8255260092063095
chr22	16784234	0.524075	3.8256476947263094
chr22	16784304	0.501784	3.8256843799763094
chr22	16785471	0.407089	3.8262699619043095
chr22	16785735	0.289942	3.8263774334003093
chr22	16786059	0.240937	3.8264713746083094
chr22	16786116	0.205153	3.8264851080173092
chr22	16786569	0.206512	3.826578042326309
chr22	16787126	0.611865	3.826693069510309
chr22	16787262	0.921924	3.826776283150309
chr22	16788108	0.466364	3.827556230854309
chr22	16788186	0.205129	3.827592607246309
chr22	16789308	0.257436	3.827822761984309
chr22	16789375	0.339832	3.827840010196309
chr22	16789597	0.706253	3.8279154529003088
chr22	16790762	1.103143	3.8287382376453087
chr22	16790813	1.857798	3.8287944979383086
chr22	16790824	2.669608	3.8288149337163087
chr22	16790952	2.951526	3.829156643540309
chr22	16791356	2.844568	3.8303490600443086
chr22	16792288	3.171855	3.8330001974203087
chr22	16792578	3.641332	3.833920035370309
chr22	16792838	27.815289	3.834866781690309
chr22	16793545	61.902798	3.854532191013309
chr22	16794504	6.136177	3.913896974295309
chr22	16797872	0.471549	3.934563618431309
chr22	16799455	0.410691	3.935310080498309
chr22	16799932	0.407153	3.9355059801053094
chr22	16800220	0.405143	3.9356232401693094
chr22	16800502	0.405244	3.9357374904953093
chr22	16801041	0.40395	3.9359559170113094
chr22	16801659	0.403561	3.9362055581113093
chr22	16802212	0.4037	3.9364287273443095
chr22	16802930	0.404679	3.9367185839443093
chr22	16803175	0.405434	3.9368177302993095
chr22	16803473	0.4057579999999999	3.9369385496313094
chr22	16803650	0.405321	3.9370103687973095
chr22	16804159	0.400761	3.9372166771863095
chr22	16804529	0.398798	3.9373649587563095
chr22	16805059	0.397616	3.9375763216963096
chr22	16805257	0.3968679999999999	3.9376550496643095
chr22	16805439	0.3962649999999999	3.9377272796403093
chr22	16805822	0.395767	3.9378790491353093
chr22	16807310	0.39591	3.9384679504313094
chr22	16807330	0.395852	3.9384758686313095
chr22	16807487	0.395631	3.9385380173953095
chr22	16808098	0.395665	3.9387797479363096
chr22	16808228	0.396385	3.9388311843863097
chr22	16809120	0.399988	3.93918475980631
chr22	16809784	0.40625	3.93945035183831
chr22	16810653	0.408018	3.93980338308831
chr22	16812253	0.436385	3.9404562118883097
chr22	16813361	1.241365	3.9409397264683097
chr22	16814107	0.338444	3.94186578475831
chr22	16814227	0.341499	3.9419063980383098
chr22	16814813	0.333047	3.9421065164523097
chr22	16814874	0.33358	3.9421268323193095
chr22	16815345	0.374912	3.9422839484993095
chr22	16815536	0.446549	3.9423555566913095
chr22	16815810	0.370267	3.9424779111173094
chr22	16815830	0.2994	3.9424853164573093
chr22	16818143	0.278909	3.9431778286573094
chr22	16818371	0.278822	3.9432414199093095
chr22	16819430	0.272987	3.9435366924073096
chr22	16820327	0.271106	3.9437815617463094
chr22	16820953	0.26918	3.9439512741023095
chr22	16821568	0.269109	3.9441168198023093
chr22	16822706	0.268627	3.944423065844309
chr22	16823242	0.275478	3.944567049916309
chr22	16823356	0.284447	3.944598454408309
chr22	16823997	2.097177	3.944780784935309
chr22	16824887	1.684722	3.946647272465309
chr22	16825214	0.900725	3.947198176559309
chr22	16825294	0.420784	3.9472702345593094
chr22	16826852	0.371263	3.9479258160313093
chr22	16827351	0.366063	3.9481110762683094
chr22	16828406	0.37772	3.9484972727333094
chr22	16828472	0.377205	3.9485222022533093
chr22	16828627	0.4237329999999999	3.9485806690283094
chr22	16828665	0.480845	3.9485967708823093
chr22	16828991	0.474856	3.9487535263523093
chr22	16829598	0.617488	3.9490417639443094
chr22	16829851	0.881779	3.9491979884083093
chr22	16830137	1.238266	3.9494501772023094
chr22	16831706	15.916522	3.9513930165563096
chr22	16832398	0.716208	3.9624072497803096
chr22	16832908	0.715977	3.9627725158603098
chr22	16832982	0.715734	3.9628254981583098
chr22	16833261	0.715314	3.96302518794431
chr22	16834087	0.71488	3.96361603730831
chr22	16834212	0.715065	3.96370539730831
chr22	16834568	0.7153590000000001	3.96395996044831
chr22	16834613	0.746746	3.9639921516033096
chr22	16834731	6.442058	3.9640802676313096
chr22	16835423	0.862549	3.9685381717673094
chr22	16835665	0.695888	3.9687469086253095
chr22	16836172	0.706513	3.9690997238413095
chr22	16836210	0.720548	3.9691265713353094
chr22	16836343	1.081851	3.9692224042193094
chr22	16836456	1.533971	3.9693446533823096
chr22	16837260	0.75166	3.9705779660663096
chr22	16837443	0.937991	3.9707155198463098
chr22	16837477	1.15449	3.9707474115403096
chr22	16837792	1.153357	3.9711110758903096
chr22	16838266	0.65003	3.9716577671083098
chr22	16839471	0.762939	3.9724410532583097
chr22	16840878	0.765968	3.9735145084313097
chr22	16842353	0.771403	3.9746443112313097
chr22	16842963	0.761781	3.97511486706131
chr22	16843493	0.695293	3.97551861099131
chr22	16843614	0.503523	3.9756027414443103
chr22	16844258	0.388721	3.9759270102563105
chr22	16845291	0.389379	3.9763285590493105
chr22	16845542	0.391627	3.9764262931783105
chr22	16845660	0.391556	3.9764725051643106
chr22	16845778	0.39075	3.9765187087723106
chr22	16846024	0.381836	3.976614833272311
chr22	16846267	0.364713	3.976707619420311
chr22	16846291	0.350357	3.976716372532311
chr22	16846705	0.342868	3.976861420330311
chr22	16846822	0.336484	3.976901535886311
chr22	16847737	0.333987	3.977209418746311
chr22	16848465	0.331877	3.9774525612823113
chr22	16848711	0.32763	3.9775342030243115
chr22	16849519	0.328354	3.9777989280643116
chr22	16850130	0.432056	3.9779995523583116
chr22	16850766	0.424504	3.9782743399743117
chr22	16851774	0.404809	3.978702240006312
chr22	16852025	0.404296	3.9788038470653118
chr22	16853162	0.323419	3.979263531617312
chr22	16856637	0.320513	3.9803874126423118
chr22	16857244	0.330676	3.9805819640333118
chr22	16857396	0.301568	3.980632226785312
chr22	16857556	0.301255	3.9806804776653117
chr22	16858113	0.296124	3.980848276700312
chr22	16858150	0.29052	3.980859233288312
chr22	16858239	0.290651	3.980885089568312
chr22	16859187	0.301534	3.981160626716312
chr22	16859529	0.309475	3.9812637513443123
chr22	16859749	0.317862	3.9813318358443124
chr22	16859908	0.324099	3.9813823759023124
chr22	16860016	0.327638	3.9814173785943123
chr22	16861014	0.33197	3.981744361318312
chr22	16861350	0.340242	3.981855903238312
chr22	16861590	0.358143	3.981937561318312
chr22	16862147	0.425827	3.9821370469693123
chr22	16863610	0.464965	3.9827600318703125
chr22	16864059	0.473669	3.9829688011553124
chr22	16864232	0.950694	3.9830507458923123
chr22	16865494	4.747589	3.984250521720312
chr22	16865654	5.984135000000001	3.9850101359603123
chr22	16866458	5.983758	3.989821380500312
chr22	16866570	5.987948	3.990491561396312
chr22	16871207	6.772593	4.018257676272312
chr22	16873057	7.822971	4.0307869733223125
chr22	16881399	8.0522	4.096046197404313
chr22	16890446	5.352912	4.168894450804313
chr22	16891245	4.75082	4.173171427492313
chr22	16906755	4.12449	4.246856645692312
chr22	16909022	2.201721	4.256206864522312
chr22	16912130	1.46836	4.263049813390312
chr22	16912349	1.070933	4.263371384230312
chr22	16912561	1.07688	4.263598422026312
chr22	16912986	1.070373	4.264056096026311
chr22	16914099	1.905604	4.265247421175311
chr22	16914544	2.646731	4.266095414955311
chr22	16914720	3.476114	4.266561239611311
chr22	16914834	3.078257	4.26695751660731
chr22	16915084	3.178615	4.26772708085731
chr22	16915569	3.2160740000000003	4.26926870913231
chr22	16915575	3.147036	4.26928800557631
chr22	16915722	3.110847	4.26975061986831
chr22	16915723	3.134186	4.26975373071531
chr22	16916076	2.376531	4.27086009837331
chr22	16916985	2.085234	4.27302036505231
chr22	16917618	2.082465	4.27434031817431
chr22	16917910	2.049429	4.27494839795431
chr22	16917922	2.016978	4.2749729911023095
chr22	16918321	1.951515	4.275777765324309
chr22	16918698	1.057604	4.27651348647931
chr22	16920944	0.998787	4.27888886506331
chr22	16921432	0.992721	4.27937627311931
chr22	16921569	0.989762	4.279512275896311
chr22	16923046	0.993417	4.280974154370311
chr22	16924021	0.993808	4.281942735945311
chr22	16924283	0.993722	4.282203113641311
chr22	16924440	0.991614	4.282359127995311
chr22	16924808	0.99224	4.2827240419473105
chr22	16925175	0.992772	4.283088194027311
chr22	16926459	1.004199	4.284362913275311
chr22	16926676	1.011773	4.2845808244583115
chr22	16927226	0.977556	4.285137299608311
chr22	16927969	0.92983	4.2858636237163115
chr22	16929007	0.919754	4.286828787256312
chr22	16929067	0.912303	4.2868839724963115
chr22	16929238	0.905952	4.287039976309312
chr22	16929483	0.9003480000000001	4.287261934549312
chr22	16929900	0.893492	4.287637379665312
chr22	16931009	0.90368	4.288628262293312
chr22	16931278	17.597372	4.288871352213311
chr22	16931326	48.608898	4.2897160260693115
chr22	16931792	48.608898	4.3123677725373115
chr22	16931916	48.608898	4.318395275889311
chr22	16932664	42.623543	4.354754731593311
chr22	16932705	2.217515	4.356502296856311
chr22	16933213	2.148924	4.357628794476311
chr22	16933272	2.15459	4.35775558099231
chr22	16933495	2.184049	4.35823605456231
chr22	16933750	2.240732	4.35879298705731
chr22	16934002	2.24436	4.35935765152131
chr22	16934600	2.197931	4.36069977880131
chr22	16934682	1.93863	4.36088000914331
chr22	16935066	1.009339	4.3616244430633095
chr22	16935329	0.662439	4.3618898992203095
chr22	16936852	0.145388	4.362898793817309
chr22	16938448	0.145388	4.363130833065309
chr22	16939688	0.142879	4.363311114185309
chr22	16941099	0.142877	4.363512716454308
chr22	16943040	0.142877	4.363790040711308
chr22	16945511	0.147858	4.364143089778308
chr22	16945527	0.151308	4.364145455506308
chr22	16946147	0.19898	4.364239266466308
chr22	16946774	0.949827	4.364364026926308
chr22	16947190	1.912444	4.364759154958309
chr22	16947233	2.309727	4.364841390050309
chr22	16947925	3.645158	4.3664397211343084
chr22	16948092	3.8112780000000006	4.367048462520309
chr22	16948494	3.0443489999999995	4.368580596276309
chr22	16948544	1.6455	4.368732813726309
chr22	16949003	1.000337	4.369488098226309
chr22	16949150	0.390556	4.369635147765309
chr22	16950041	0.380424	4.369983133161309
chr22	16951592	0.3829149999999999	4.370573170785309
chr22	16952320	0.609779	4.370851932905309
chr22	16952331	0.830408	4.370858640474308
chr22	16952998	0.830801	4.371412522610308
chr22	16953194	0.7699519999999999	4.371575359606308
chr22	16953363	0.611288	4.371705481494308
chr22	16953631	0.480319	4.371869306678308
chr22	16954034	0.448049	4.372062875235308
chr22	16954144	0.448461	4.372112160625308
chr22	16955737	0.448108	4.372826558998308
chr22	16955872	0.442156	4.3728870535783075
chr22	16955956	0.43446	4.372924194682308
chr22	16956420	0.4202000000000001	4.3731257841223075
chr22	16956593	0.407101	4.3731984787223075
chr22	16956610	0.392592	4.373205399439308
chr22	16956727	0.390207	4.373251332703308
chr22	16956791	0.37523	4.3732763059513085
chr22	16957847	0.365552	4.373672548831308
chr22	16958092	0.365262	4.373762109071309
chr22	16960063	0.503016	4.374482040473309
chr22	16960413	0.562955	4.374658096073309
chr22	16960559	0.903032	4.374740287503308
chr22	16960634	1.237503	4.374808014903309
chr22	16960635	1.334236	4.374809252406308
chr22	16961264	1.349466	4.3756484868503085
chr22	16961316	1.353406	4.375718659082309
chr22	16961333	1.356468	4.375741666984308
chr22	16961849	1.220471	4.3764416044723085
chr22	16962097	0.851049	4.376744281280309
chr22	16962241	0.689015	4.376866832336309
chr22	16962289	0.631626	4.376899905056309
chr22	16962348	0.551117	4.376937170990309
chr22	16962373	0.469156	4.376950948915309
chr22	16962491	0.409169	4.377006309323309
chr22	16964612	0.332803	4.377874156772309
chr22	16965267	0.332563	4.378092142737309
chr22	16965935	0.331446	4.378314294821308
chr22	16966024	0.320681	4.378343793515309
chr22	16966101	0.309904	4.378368485952309
chr22	16967253	0.309691	4.3787254953603085
chr22	16967514	0.310411	4.3788063247113085
chr22	16968225	0.322009	4.379027026932309
chr22	16969625	0.439131	4.379477839532308
chr22	16969648	0.439703	4.379487939545308
chr22	16970295	0.44806	4.379772427386309
chr22	16970820	0.452892	4.380007658886308
chr22	16970964	0.455652	4.380072875334308
chr22	16971076	0.456769	4.380123908358308
chr22	16972035	0.467249	4.380561949829308
chr22	16972076	0.466469	4.380581107038307
chr22	16973066	0.455742	4.381042911348308
chr22	16973596	0.46591	4.381284454608307
chr22	16973805	0.536032	4.381381829798308
chr22	16974055	0.731211	4.3815158377983074
chr22	16974501	0.756513	4.3818419579043075
chr22	16975883	0.213639	4.382887458870307
chr22	16976386	0.094872	4.382994919287308
chr22	16981295	0.091971	4.383460645935307
chr22	16982299	0.371713	4.383552984819308
chr22	16983139	0.371678	4.383865223739308
chr22	16984218	0.20861	4.384266264301308
chr22	16984285	0.087337	4.384280241171308
chr22	16985359	0.086462	4.384374041109308
chr22	16985601	0.085458	4.384394964913308
chr22	16985893	0.085576	4.384419918649308
chr22	16986028	0.085709	4.384431471409308
chr22	16986183	0.085667	4.384444756304308
chr22	16986521	0.086197	4.384473711750308
chr22	16986584	0.086293	4.384479142161308
chr22	16986794	0.08693	4.384497263691308
chr22	16986933	0.087277	4.384509346961308
chr22	16988136	5.435349	4.384614341192308
chr22	16988420	0.360294	4.386157980308308
chr22	16988668	0.360294	4.386247333220308
chr22	16989889	0.387852	4.386687252194308
chr22	16990464	0.44119	4.386910267094309
chr22	16990479	0.491416	4.386916884944308
chr22	16991142	0.505671	4.387242693752309
chr22	16991181	0.507535	4.387262414921309
chr22	16991349	0.507535	4.387347680801309
chr22	16992339	0.380158	4.387850140451309
chr22	16993799	0.304389	4.388405171131309
chr22	16993922	0.22134	4.388442610978309
chr22	16994124	0.220354	4.388487321658309
chr22	16994301	0.220354	4.3885263243163095
chr22	16994764	0.217876	4.38862834821831
chr22	16995031	0.198389	4.38868652111031
chr22	16995174	0.19598	4.38871489073731
chr22	17007305	0.386077	4.39109232411731
chr22	17007540	3.709367	4.391183052212311
chr22	17007779	4.448985	4.392069590925311
chr22	17007837	6.544529	4.392327632055311
chr22	17008410	33.237421	4.396077647172311
chr22	17008656	33.733199	4.404254052738311
chr22	17008687	34.224832	4.405299781907312
chr22	17009000	34.261808	4.416012154323312
chr22	17010042	6.80265	4.451712958259312
chr22	17010694	6.091089	4.456148286059312
chr22	17011313	6.272325	4.459918670150312
